id,en,zh
xanthous.title,lorem,lorem
xanthous.bio,We build software to help business grow.,lorem
alexzhao.title,Full Stack Developer,全栈开发者
alexzhao.bio,lorem,lorem
osmanmesutozcan.title,Full Stack Developer,全栈开发者
osmanmesutozcan.bio,lorem,lorem
simonliang.title,"Full Stack Java / JavaScript Engineer, AWS / Elasticsearch Expert",全栈Java / JavaScript工程师，AWS / Elasticsearch专家
simonliang.bio,"With 5 years of professional experience, and extensive knowledge of AWS Architecture and Elasticsearch, I am always ready to solve a technical challenge. Having worked in big corporate and startups, I also understand how to ship high quality software on time.",五年工作经验，并对AWS架构和Elasticsearch有丰富的经验。在大公司和初创公司的经历使我懂得如何高质量按时交付项目。
necmttn.title,Full Stack Developer,全栈开发者
necmttn.bio,lorem,lorem
chrischen.title,Full Stack Developer,全栈开发者
chrischen.bio,lorem,lorem
